,budget,revenue,title,vote_average,vote_count,tconst,startYear,runtimeMinutes,genre_1,genre_2,genre_3,genre_4,prod_company_1,prod_company_2,prod_company_3,prod_company_4,prod_company_5,writer_1,writer_2,writer_3,writer_4,writer_5,director_1,director_2,director_3,cast_1,cast_2,cast_3,cast_4,cast_5,cast_6,cast_7,cast_8,cast_9,cast_10,others_1,others_2,others_3,others_4,others_5,others_6,others_7,others_8,others_9,others_10
1159,5000000.0,16174377.0,SUNSHINE CLEANING,6.6,435.0,tt0862846,2008,91,Comedy,Drama,,,Overture Films,Back Lot Pictures,Big Beach,,,nm0420422,nm1202932,,,,nm0420422,,,nm0010736,nm1289434,nm0000273,nm1555151,,,,,,,nm1330162,nm0764771,nm1196755,nm0932037,,,,,,
1160,2000000.0,2340110.0,TEETH,5.2,385.0,tt0780622,2007,94,Comedy,Horror,,,Teeth,Pierpoline Films,,,,nm0509033,,,,,nm0509033,,,nm1422176,nm0378161,nm0656929,nm2082776,,,,,,,nm0682600,nm0589217,nm0374935,nm0484498,nm0043069,,,,,
1161,30000000.0,31148328.0,PRIDE AND GLORY,6.4,451.0,tt0482572,2008,130,Thriller,Crime,Drama,Mystery,New Line Cinema,Solaris Film,Avery Pix,Kumar Mobiliengesellschaft mbH & Co. Projekt Nr. 1 KG,,nm2455787,nm0138620,nm0640334,nm0640345,,nm0640334,,,nm0001570,nm0268199,nm0001187,nm0000685,nm1364532,nm1965007,,,,,nm0006142,nm0002336,nm1337351,,,,,,,
1162,8000000.0,2275557.0,SHOWDOWN IN LITTLE TOKYO,5.9,180.0,tt0102915,1991,79,Action,Thriller,,,Original Pictures,Warner Bros. Pictures,,,,nm0504495,nm0105585,nm0321739,,,nm0504495,,,nm0000185,nm0000488,nm0846480,nm0000119,,,,,,,nm0127389,nm0006080,nm0410419,,,,,,,
1163,2100000.0,14487294.0,THE BOYS & GIRLS GUIDE TO GETTING DOWN,6.3,15.0,tt0464907,2006,92,Comedy,Documentary,,,Concrete Images,Big Primpin Productions,,,,nm0893046,nm1957032,nm1208086,,,nm1957032,,,nm1185516,nm2002833,nm0568926,nm1789969,,,,,,,nm1320082,nm1864153,nm1838823,,,,,,,
1164,8000000.0,908847.0,BATTLE IN SEATTLE,6.4,119.0,tt0850253,2007,99,Action,Drama,,,Insight Film Studios,Redwood Palms Pictures,Remstar Productions,,,nm0870204,,,,,nm0870204,,,nm0071275,nm1358539,nm0207218,nm0000437,,,,,,,nm0022053,nm0753708,nm1191033,nm0203118,nm1128020,,,,,
1165,130000000.0,185258983.0,WATCHMEN,7.3,5334.0,tt0409459,2009,162,Action,Mystery,Science Fiction,,Paramount,DC Comics,Lawrence Gordon Productions,Legendary Entertainment,Warner Bros. Pictures,nm0371684,nm0600872,nm0874844,nm0811583,nm1733301,nm0811583,,,nm0355097,nm0933940,nm0001303,nm0015196,nm0871393,,,,,,nm0330383,nm0002211,nm0006089,nm0650038,nm1069078,nm2100078,,,,
1166,45000000.0,42487390.0,BANGKOK DANGEROUS,5.2,566.0,tt0814022,2008,99,Action,Crime,Thriller,,Virtual Studios,Saturn Films,International Production Company,Blue Star Pictures,Living Films,nm0161152,nm0659380,nm0725034,,,nm0161152,nm0659380,,nm0000115,nm0947777,nm1395312,nm2486428,,,,,,,nm0326496,nm0792061,nm0795832,,,,,,,
1167,8000000.0,143451.0,10TH & WOLF,6.3,43.0,tt0360323,2006,107,Action,Crime,Drama,Mystery,,,,,,nm0824481,nm0604263,,,,nm0604263,,,nm0005188,nm0000610,nm0000605,nm0005305,,,,,,,nm0216560,nm0614410,nm0744235,nm0956374,,,,,,
1168,19000000.0,91379051.0,FRIDAY THE 13TH,5.8,1307.0,tt0758746,2009,97,Horror,,,,New Line Cinema,,,,,nm1197971,nm1226737,nm1226735,nm0589485,nm1187126,nm1197971,,,nm0655585,nm1119462,nm0575216,nm1263939,nm0178875,nm1683094,nm2421004,,,,nm0000881,nm0192446,,,,,,,,
1169,33000000.0,269958228.0,GRAN TORINO,8.0,6217.0,tt1205489,2008,116,Drama,,,,Matten Productions,Double Nickel Entertainment,Gerber Pictures,Malpaso Productions,Village Roadshow Pictures,nm0000142,nm1010405,nm3164738,,,nm0000142,,,nm0000142,nm3057402,nm1542291,nm3115704,nm0536780,,,,,,nm0314088,nm0520749,nm0247762,nm0828630,nm0725013,,,,,
1170,5000000.0,346592.0,MEET BILL,6.0,155.0,tt0790623,2007,93,Comedy,Drama,Romance,,Eclipse Catering,GreeneStreet Films,,,,nm0325927,nm2214893,,,,nm0325927,nm2214893,,nm0001173,nm0004695,nm0503567,nm0006969,nm3554010,,,,,,nm0006597,nm0746726,nm0001770,nm0790481,,,,,,
1171,18000000.0,1196307.0,SERAPHIM FALLS,6.4,275.0,tt0479537,2006,115,Action,Drama,Western,,Icon Productions,,,,,nm1204568,nm2042832,,,,nm1204568,,,nm0000112,nm0000553,nm0001378,nm0000699,,,,,,,nm0202704,nm0283433,nm0004581,nm0001799,,,,,,
1172,8000000.0,2033165.0,MUTANT CHRONICLES,5.0,237.0,tt0490181,2008,111,Action,Adventure,Horror,Science Fiction,Edward R. Pressman Film,First Foot Films,Isle of Man Film,Paradox Entertainment,,nm0252155,nm0403038,,,,nm0403038,,,nm0005048,nm0000579,nm1226817,nm0675730,,,,,,,nm1366451,nm0219613,nm0479070,nm0695247,nm0131947,,,,,
1173,26000000.0,17496992.0,ANNAPOLIS,6.2,209.0,tt0417433,2006,108,Drama,,,,Touchstone Pictures,,,,,nm0510912,nm1152581,,,,nm0510912,,,nm0290556,nm0108287,nm0879085,nm0005531,,,,,,,nm1150777,nm1680607,nm0003911,nm0008971,,,,,,
1174,20000000.0,27640028.0,LAKEVIEW TERRACE,5.9,532.0,tt0947802,2008,110,Drama,Crime,Thriller,,Screen Gems,Overbrook Entertainment,,,,nm0001438,nm0466122,nm0521739,,,nm0001438,,,nm0000168,nm0933940,nm0913488,nm0322002,,,,,,,nm0489876,nm0000226,nm0004582,nm0687412,,,,,,
1175,300000.0,8000000.0,DEATH RACE 2000,6.1,217.0,tt0072856,1975,80,Action,Comedy,Science Fiction,,New World Pictures,,,,,nm0341458,nm0858379,nm0577477,nm0000860,,nm0000860,,,nm0001016,nm0000230,nm0341097,nm0001862,,,,,,,nm0000339,nm0002414,,,,,,,,
1176,22000000.0,23530831.0,TRAITOR,6.6,345.0,tt0988047,2008,114,Drama,Action,Thriller,Crime,Mandeville Films,Hyde Park Films,Crescendo Productions,Overture Films,,nm0618680,nm0000188,,,,nm0618680,,,nm0000332,nm0001602,nm0659544,nm0846548,,,,,,,nm0387674,nm0509414,nm0798711,nm0453179,,,,,,
