,budget,revenue,title,vote_average,vote_count,tconst,startYear,runtimeMinutes,genre_1,genre_2,genre_3,genre_4,prod_company_1,prod_company_2,prod_company_3,prod_company_4,prod_company_5,writer_1,writer_2,writer_3,writer_4,writer_5,director_1,director_2,director_3,cast_1,cast_2,cast_3,cast_4,cast_5,cast_6,cast_7,cast_8,cast_9,cast_10,others_1,others_2,others_3,others_4,others_5,others_6,others_7,others_8,others_9,others_10,profit,rev_budget_ratio
1426,20215016.762589928,36473743.381294966,THE GORGEOUS HUSSY,4.3,4.0,tt0027690,1936,103,Drama,History,,,Metro-Goldwyn-Mayer,,,,,nm0113284,nm0604453,nm0011343,nm0043081,,nm0113284,,,nm0001076,nm0001791,nm0000859,nm0867144,,,,,,,nm0000581,nm0006307,,,,,,,,,16258726.618705038,1.804289544235925
33,26976564.513888888,27482266.111111112,PARNELL,4.5,4.0,tt0029377,1937,118,Drama,History,Romance,,Metro-Goldwyn-Mayer,,,,,nm0067103,nm0886668,nm0821472,nm0770297,,nm0821472,,,nm0000022,nm0001485,nm0646829,nm0350324,,,,,,,nm0002197,nm0005713,,,,,,,,,505701.5972222239,1.0187459599224307
2998,25955099.60145833,3224728056.4584723,SNOW WHITE AND THE SEVEN DWARFS,7.0,4481.0,tt0029583,1937,83,Fantasy,Animation,Family,,Walt Disney Productions,,,,,nm0789313,nm0183183,nm0668998,nm0604392,nm0414144,nm0789313,nm0359457,nm0414144,nm0143314,nm0830968,nm0479164,nm0041165,,,,,,,,,,,,,,,,,3198772956.8570137,124.24256142239136
57,12642539.930555556,13653943.125,THE WOMAN I LOVE,0.0,0.0,tt0029790,1937,85,Drama,,,,RKO Radio Pictures,,,,,nm0096147,nm0514822,nm0450262,,,nm0514822,,,nm0612847,nm0394244,nm0371775,nm0166972,,,,,,,nm0506900,nm0006131,nm0006320,,,,,,,,1011403.194444444,1.08
1453,10270973.819444444,17699555.902777776,NIGHT MUST FALL,7.5,16.0,tt0029310,1937,116,Drama,Mystery,Thriller,,Metro-Goldwyn-Mayer,,,,,nm0861703,nm0930539,nm0886668,,,nm0861703,,,nm0869428,nm0365692,nm0926599,nm0751426,,,,,,,nm0834898,nm0911518,nm0432482,,,,,,,,7428582.083333332,1.7232597623089982
847,36205711.418439716,70897657.23404256,THE ADVENTURES OF ROBIN HOOD,7.6,314.0,tt0029843,1938,102,Action,Adventure,Romance,,Warner Bros. Pictures,,,,,nm0002031,nm0589316,nm0706993,nm0500284,nm0445033,nm0002031,nm0445033,,nm0001224,nm0000014,nm0001651,nm0001647,nm0461549,,,,,,nm0006157,,,,,,,,,,34691945.81560284,1.958189867191343
3078,50167204.24460431,609791978.3071222,THE WIZARD OF OZ,7.5,3174.0,tt0032138,1939,102,Adventure,Family,Fantasy,,,,,,,nm0861703,nm0851537,nm0281808,nm0000875,nm0896542,nm0851537,nm0281808,nm0896542,nm0000023,nm0604656,nm0001961,nm0481618,,,,,,,nm0005849,nm0006307,,,,,,,,,559624774.0625179,12.15519157364062
2264,24659068.70503597,41170708.84892086,NINOTCHKA,7.7,157.0,tt0031725,1939,110,Comedy,Romance,,,Metro-Goldwyn-Mayer,,,,,nm0501872,nm0102818,nm0000697,nm0281556,nm0523932,nm0523932,,,nm0001256,nm0002048,nm0163257,nm0000509,,,,,,,nm0006128,,,,,,,,,,16511640.14388489,1.6695970695970694
3288,30494145.03597122,41008121.58273381,THE WOMEN,7.1,57.0,tt0032143,1939,133,Comedy,Drama,,,Metro-Goldwyn-Mayer,,,,,nm0829330,nm0002616,nm0613848,nm0524403,nm0280234,nm0002030,,,nm0790454,nm0001076,nm0751426,nm0092683,nm0002104,nm0340706,,,,,nm0811023,,,,,,,,,,10513976.54676259,1.34478672985782
2424,27097877.697841726,173426417.26618704,MR. SMITH GOES TO WASHINGTON,8.0,492.0,tt0031679,1939,129,Comedy,Drama,,,Columbia Pictures,,,,,nm0118227,nm0175333,nm0001008,nm0287931,,nm0001008,,,nm0000071,nm0000795,nm0001647,nm0036427,nm0356004,nm0593775,,,,,nm0006323,nm0907900,nm0369879,,,,,,,,146328539.5683453,6.3999999999999995
3114,72261007.19424461,7229288495.691583,GONE WITH THE WIND,7.9,1923.0,tt0031381,1939,238,Drama,Romance,War,,Selznick International Pictures,Metro-Goldwyn-Mayer,,,,nm0397608,nm0281808,nm0939992,nm0593565,nm0308177,nm0281808,nm0939992,nm0002030,nm0000022,nm0000046,nm0593775,nm0641966,nm0403636,,,,,,nm0005668,nm0580017,,,,,,,,,7157027488.497338,100.04411474999999
2670,32517453.237410072,124250995.34532374,THE HUNCHBACK OF NOTRE DAME,7.4,69.0,tt0031455,1939,117,Romance,Drama,Horror,,RKO Radio Pictures,,,,,nm0290863,nm0226189,nm0401076,nm0397022,,nm0226189,,,nm0001452,nm0000058,nm0362567,nm0593775,,,,,,,nm0075825,nm0000055,,,,,,,,,91733542.10791367,3.8210555555555556
3361,34594957.1942446,50709161.79856115,GUNGA DIN,6.8,59.0,tt0031398,1939,117,Adventure,War,Comedy,,RKO Radio Pictures,,,,,nm0372942,nm0768540,nm0456017,nm0531269,nm0828419,nm0828419,,,nm0000026,nm0000021,nm0572142,nm0001195,,,,,,,nm0005641,,,,,,,,,,16114204.604316548,1.4657963446475197
